detector,context,category,count
Isolation Forest,weekend,Weekday,937
Isolation Forest,weekend,Weekend,187
Residual (MAD),weekend,Weekday,943
Residual (MAD),weekend,Weekend,61
Isolation Forest,hour_of_day,0,37
Isolation Forest,hour_of_day,1,39
Isolation Forest,hour_of_day,2,36
Isolation Forest,hour_of_day,3,43
Isolation Forest,hour_of_day,4,46
Isolation Forest,hour_of_day,5,42
Isolation Forest,hour_of_day,6,36
Isolation Forest,hour_of_day,7,37
Isolation Forest,hour_of_day,8,67
Isolation Forest,hour_of_day,9,54
Isolation Forest,hour_of_day,10,49
Isolation Forest,hour_of_day,11,57
Isolation Forest,hour_of_day,12,37
Isolation Forest,hour_of_day,13,34
Isolation Forest,hour_of_day,14,45
Isolation Forest,hour_of_day,15,37
Isolation Forest,hour_of_day,16,30
Isolation Forest,hour_of_day,17,54
Isolation Forest,hour_of_day,18,61
Isolation Forest,hour_of_day,19,72
Isolation Forest,hour_of_day,20,59
Isolation Forest,hour_of_day,21,59
Isolation Forest,hour_of_day,22,46
Isolation Forest,hour_of_day,23,47
Residual (MAD),hour_of_day,0,19
Residual (MAD),hour_of_day,1,18
Residual (MAD),hour_of_day,2,13
Residual (MAD),hour_of_day,3,36
Residual (MAD),hour_of_day,4,93
Residual (MAD),hour_of_day,5,72
Residual (MAD),hour_of_day,6,27
Residual (MAD),hour_of_day,7,15
Residual (MAD),hour_of_day,8,145
Residual (MAD),hour_of_day,9,67
Residual (MAD),hour_of_day,10,23
Residual (MAD),hour_of_day,11,24
Residual (MAD),hour_of_day,12,5
Residual (MAD),hour_of_day,13,2
Residual (MAD),hour_of_day,14,8
Residual (MAD),hour_of_day,15,6
Residual (MAD),hour_of_day,16,12
Residual (MAD),hour_of_day,17,58
Residual (MAD),hour_of_day,18,114
Residual (MAD),hour_of_day,19,130
Residual (MAD),hour_of_day,20,82
Residual (MAD),hour_of_day,21,15
Residual (MAD),hour_of_day,22,10
Residual (MAD),hour_of_day,23,10
Isolation Forest,temp_bucket,high,10
Isolation Forest,temp_bucket,low,324
Isolation Forest,temp_bucket,mid,790
Residual (MAD),temp_bucket,high,53
Residual (MAD),temp_bucket,low,238
Residual (MAD),temp_bucket,mid,713
Isolation Forest,day_of_week,0,209
Isolation Forest,day_of_week,1,180
Isolation Forest,day_of_week,2,157
Isolation Forest,day_of_week,3,192
Isolation Forest,day_of_week,4,199
Isolation Forest,day_of_week,5,146
Isolation Forest,day_of_week,6,41
Residual (MAD),day_of_week,0,212
Residual (MAD),day_of_week,1,192
Residual (MAD),day_of_week,2,168
Residual (MAD),day_of_week,3,194
Residual (MAD),day_of_week,4,177
Residual (MAD),day_of_week,5,33
Residual (MAD),day_of_week,6,28
Isolation Forest,day_of_month,1,29
Isolation Forest,day_of_month,2,40
Isolation Forest,day_of_month,3,41
Isolation Forest,day_of_month,4,15
Isolation Forest,day_of_month,5,34
Isolation Forest,day_of_month,6,8
Isolation Forest,day_of_month,7,15
Isolation Forest,day_of_month,8,62
Isolation Forest,day_of_month,9,50
Isolation Forest,day_of_month,10,42
Isolation Forest,day_of_month,11,39
Isolation Forest,day_of_month,12,24
Isolation Forest,day_of_month,13,19
Isolation Forest,day_of_month,14,30
Isolation Forest,day_of_month,15,38
Isolation Forest,day_of_month,16,34
Isolation Forest,day_of_month,17,57
Isolation Forest,day_of_month,18,62
Isolation Forest,day_of_month,19,38
Isolation Forest,day_of_month,20,21
Isolation Forest,day_of_month,21,38
Isolation Forest,day_of_month,22,60
Isolation Forest,day_of_month,23,52
Isolation Forest,day_of_month,24,27
Isolation Forest,day_of_month,25,26
Isolation Forest,day_of_month,26,74
Isolation Forest,day_of_month,27,7
Isolation Forest,day_of_month,28,63
Isolation Forest,day_of_month,29,51
Isolation Forest,day_of_month,30,5
Isolation Forest,day_of_month,31,23
Residual (MAD),day_of_month,1,49
Residual (MAD),day_of_month,2,33
Residual (MAD),day_of_month,3,23
Residual (MAD),day_of_month,4,37
Residual (MAD),day_of_month,5,48
Residual (MAD),day_of_month,6,22
Residual (MAD),day_of_month,7,17
Residual (MAD),day_of_month,8,33
Residual (MAD),day_of_month,9,28
Residual (MAD),day_of_month,10,27
Residual (MAD),day_of_month,11,33
Residual (MAD),day_of_month,12,21
Residual (MAD),day_of_month,13,24
Residual (MAD),day_of_month,14,29
Residual (MAD),day_of_month,15,49
Residual (MAD),day_of_month,16,18
Residual (MAD),day_of_month,17,51
Residual (MAD),day_of_month,18,32
Residual (MAD),day_of_month,19,35
Residual (MAD),day_of_month,20,24
Residual (MAD),day_of_month,21,57
Residual (MAD),day_of_month,22,32
Residual (MAD),day_of_month,23,40
Residual (MAD),day_of_month,24,40
Residual (MAD),day_of_month,25,24
Residual (MAD),day_of_month,26,23
Residual (MAD),day_of_month,27,11
Residual (MAD),day_of_month,28,56
Residual (MAD),day_of_month,29,36
Residual (MAD),day_of_month,30,29
Residual (MAD),day_of_month,31,23
