detector,stream,points,anomalies,threshold,median_score
Isolation Forest,C6H6(GT),9357,106,0.025063116156613757,-0.2200361975910563
Isolation Forest,CO(GT),9357,78,0.034858152111304004,-0.18413565469363496
Isolation Forest,NMHC(GT),9357,72,0.0221434520503324,-0.17721770315586638
Isolation Forest,NO2(GT),9357,271,0.02892317896793776,-0.14902762937128033
Isolation Forest,NOx(GT),9357,97,0.03191549640367914,-0.2280611288983979
Isolation Forest,PT08.S1(CO),9357,92,0.01970254925898392,-0.15787324591683427
Isolation Forest,PT08.S2(NMHC),9357,122,0.0264442940400374,-0.17497581922939764
Isolation Forest,PT08.S3(NOx),9357,74,0.04587490798471114,-0.18883677335581184
Isolation Forest,PT08.S4(NO2),9357,125,0.029223274344074686,-0.18102148944985413
Isolation Forest,PT08.S5(O3),9357,87,0.020116552232425877,-0.1401258566302676
Residual (MAD),C6H6(GT),9357,90,5.415360648148139,0.6745
Residual (MAD),CO(GT),9357,93,4.38425,0.6745
Residual (MAD),NMHC(GT),9357,73,5.545392188255678,0.6745
Residual (MAD),NO2(GT),9357,185,3.0530000000000004,0.6744999999999999
Residual (MAD),NOx(GT),9357,111,5.927123320684703,0.6745
Residual (MAD),PT08.S1(CO),9357,87,3.7966320238095213,0.6745
Residual (MAD),PT08.S2(NMHC),9357,96,3.4838516666666646,0.6745
Residual (MAD),PT08.S3(NOx),9357,83,4.775459999999999,0.6745
Residual (MAD),PT08.S4(NO2),9357,86,4.929252711442787,0.6745
Residual (MAD),PT08.S5(O3),9357,100,3.1512351223241564,0.6745
