timestamp,stream,method,value,score,threshold,is_anomaly,is_weekend,dayofweek,hour,weekday,month,temperature,temp_bucket,detector
2004-03-11 19:00:00,CO(GT),isolation_forest,3.350488587569169,0.03492525522978818,0.034858152111304004,True,False,3,19,3,3,-1.0049366734851894,low,Isolation Forest
2004-03-15 09:00:00,CO(GT),isolation_forest,4.189086226686502,0.09499770552303544,0.034858152111304004,True,False,0,9,0,3,-0.4167676256784165,mid,Isolation Forest
2004-03-15 10:00:00,CO(GT),isolation_forest,2.581774085044945,0.04298637185167764,0.034858152111304004,True,False,0,10,0,3,-0.1169167385612385,mid,Isolation Forest
2004-03-15 19:00:00,CO(GT),isolation_forest,4.119203090093391,0.05161243214242539,0.034858152111304004,True,False,0,19,0,3,0.2290650542662749,mid,Isolation Forest
2004-03-17 19:00:00,CO(GT),isolation_forest,3.8396705437209455,0.044036298956999786,0.034858152111304004,True,False,2,19,2,3,0.5404486678110373,mid,Isolation Forest
2004-04-29 08:00:00,CO(GT),isolation_forest,3.560137997348502,0.043205276450367425,0.034858152111304004,True,False,3,8,3,4,-0.2668421821198273,mid,Isolation Forest
2004-05-18 08:00:00,CO(GT),isolation_forest,3.070956041196724,0.06935136334403169,0.034858152111304004,True,False,1,8,1,5,0.0445414314249346,mid,Isolation Forest
2004-10-20 17:00:00,CO(GT),isolation_forest,4.119203090093391,0.0642817589447563,0.034858152111304004,True,False,2,17,2,10,0.713439564224794,mid,Isolation Forest
2004-10-22 18:00:00,CO(GT),isolation_forest,4.398735636465836,0.08661761786330824,0.034858152111304004,True,False,4,18,4,10,0.6788413849420426,mid,Isolation Forest
2004-10-25 17:00:00,CO(GT),isolation_forest,4.04931995350028,0.08064704093307329,0.034858152111304004,True,False,0,17,0,10,0.3789904978248641,mid,Isolation Forest
2004-10-25 18:00:00,CO(GT),isolation_forest,4.398735636465836,0.06212614514354997,0.034858152111304004,True,False,0,18,0,10,0.2982614128317777,mid,Isolation Forest
2004-10-25 19:00:00,CO(GT),isolation_forest,4.119203090093391,0.05171239380372361,0.034858152111304004,True,False,0,19,0,10,0.1829341485559399,mid,Isolation Forest
2004-10-25 20:00:00,CO(GT),isolation_forest,3.0010729046036126,0.04862090024290855,0.034858152111304004,True,False,0,20,0,10,0.1022050635628535,mid,Isolation Forest
2004-10-26 17:00:00,CO(GT),isolation_forest,4.398735636465836,0.0554638184126367,0.034858152111304004,True,False,1,17,1,10,0.5519813942386208,mid,Isolation Forest
2004-10-26 18:00:00,CO(GT),isolation_forest,5.167450138990059,0.06471741495794303,0.034858152111304004,True,False,1,18,1,10,0.4712523092455344,mid,Isolation Forest
2004-10-26 19:00:00,CO(GT),isolation_forest,2.8613066314173903,0.06587810979799924,0.034858152111304004,True,False,1,19,1,10,0.436654129962783,mid,Isolation Forest
2004-10-26 21:00:00,CO(GT),isolation_forest,-0.0039019689001675,0.03860390728596108,0.034858152111304004,True,False,1,21,1,10,0.2982614128317777,mid,Isolation Forest
2004-11-02 14:00:00,CO(GT),isolation_forest,3.769787407127835,0.10132599766951111,0.034858152111304004,True,False,1,14,1,11,0.8172341020730479,mid,Isolation Forest
2004-11-02 15:00:00,CO(GT),isolation_forest,2.581774085044945,0.042235193929478276,0.034858152111304004,True,False,1,15,1,11,0.7826359227902965,mid,Isolation Forest
2004-11-02 18:00:00,CO(GT),isolation_forest,4.04931995350028,0.06167046827386313,0.034858152111304004,True,False,1,18,1,11,0.5289159413834533,mid,Isolation Forest
2004-11-02 19:00:00,CO(GT),isolation_forest,4.119203090093391,0.048301055173221696,0.034858152111304004,True,False,1,19,1,11,0.390523224252448,mid,Isolation Forest
2004-11-02 20:00:00,CO(GT),isolation_forest,4.9578007292107245,0.08326391531434074,0.034858152111304004,True,False,1,20,1,11,0.2867286864041938,mid,Isolation Forest
2004-11-02 21:00:00,CO(GT),isolation_forest,2.651657221638057,0.05143029286581058,0.034858152111304004,True,False,1,21,1,11,0.2059996014111074,mid,Isolation Forest
2004-11-03 00:00:00,CO(GT),isolation_forest,-0.7027333348312792,0.042359963149090296,0.034858152111304004,True,False,2,0,2,11,0.2290650542662749,mid,Isolation Forest
2004-11-04 17:00:00,CO(GT),isolation_forest,4.538494845202291,0.10404740242063582,0.034858152111304004,True,False,3,17,3,11,0.7365050170799615,mid,Isolation Forest
2004-11-04 18:00:00,CO(GT),isolation_forest,4.608385046245169,0.09127068063725974,0.034858152111304004,True,False,3,18,3,11,0.5404486678110373,mid,Isolation Forest
2004-11-05 09:00:00,CO(GT),isolation_forest,2.8613066314173903,0.040271736595423935,0.034858152111304004,True,False,4,9,4,11,-0.2207112764094923,mid,Isolation Forest
2004-11-05 17:00:00,CO(GT),isolation_forest,4.189086226686502,0.05507991597993955,0.034858152111304004,True,False,4,17,4,11,0.5289159413834533,mid,Isolation Forest
2004-11-05 18:00:00,CO(GT),isolation_forest,4.119203090093391,0.04171295910806461,0.034858152111304004,True,False,4,18,4,11,0.3443923185421127,mid,Isolation Forest
2004-11-11 09:00:00,CO(GT),isolation_forest,3.280605450976057,0.062030433485870895,0.034858152111304004,True,False,3,9,3,11,-0.981871220630022,low,Isolation Forest
